"","samp_full","Pop","PopID","Region","Ecotype","label","Region_color","Ecotype_color","PopID_color","Gsub_PC1","Gsub_PC2","G_AllInv_PC1","G_AllInv_PC2","InvHclustOrder","InvHclustK5"
"36",16214,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_16214","blue4","darkcyan","#FA8072FF",-0.0673385859768396,0.00970106421003701,0.0608624194640242,-0.0569129603978724,154,2
"37",16218,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_16218","blue4","darkcyan","#FA8072FF",-0.0572872731197132,0.0140478188392085,0.0365878595596874,-0.0269558185816564,166,2
"38",16219,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_16219","blue4","darkcyan","#FA8072FF",-0.0568245487268317,0.026591666546584,0.0346559952485763,-0.00271090014511603,233,1
"39",17001,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17001","blue4","darkcyan","#FA8072FF",-0.0643294177244719,0.0125718472665852,0.0546387533872946,-0.063662063916606,161,2
"40",17003,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17003","blue4","darkcyan","#FA8072FF",-0.0650762782605197,0.0123420967855805,0.0545749375702725,-0.0624811057778675,252,2
"41",17005,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17005","blue4","darkcyan","#FA8072FF",-0.0669315718847231,0.00498153054468733,0.0620803318477514,-0.0569721331727812,216,2
"42",17006,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17006","blue4","darkcyan","#FA8072FF",-0.0599527081658318,0.0163105042736843,0.0436232506764282,-0.0477869316097503,217,2
"43",17007,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17007","blue4","darkcyan","#FA8072FF",-0.0583645396316712,0.0255606755449287,0.0352519976809472,-0.00525729117804424,222,1
"44",17008,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17008","blue4","darkcyan","#FA8072FF",-0.0506461754744692,0.0409734974405303,0.0154234573758493,0.0513833390854267,234,3
"45",17010,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_17010","blue4","darkcyan","#FA8072FF",-0.0669604298171653,-0.00256024017747361,0.0665540834621826,-0.0482400680096612,219,1
